Model,Features,RMSE,MAPE,MAE,Differencing,Time
BDLSTM,Covid data as exog,125.17254757600273,1.5403029161067785,110.86666666666666,True,0:00:05.338
BDLSTM,Covid data as exog,96.78636267574063,0.3929114744604243,61.8,False,0:00:09.000
BDLSTM,No exogenous,83.71101082494067,0.3753309776509855,53.93333333333333,True,0:00:07.257
BDLSTM,No exogenous,49.02890304028159,0.3366351957811862,32.2,False,0:00:05.730
BDLSTM,Quarantines as exogenous,84.21520052817068,0.8179238168808874,72.83333333333333,True,0:00:06.780
BDLSTM,Quarantines as exogenous,55.52296822036805,0.48940525630618853,39.7,False,0:00:09.679
BDLSTM,Time as exogenous,101.76140394733817,0.623420306924703,75.51666666666667,True,0:00:09.060
BDLSTM,Time as exogenous,47.86735143428486,0.364680813545655,33.31666666666667,False,0:00:06.753
MLP,Covid data as exog,81.59626216929303,0.7563221848910315,68.55,True,0:00:00.085
MLP,Covid data as exog,135.43559354911102,1.0,112.3,False,0:00:00.168
MLP,No exogenous,93.7487777698106,0.38230792411293596,57.766666666666666,True,0:00:00.042
MLP,No exogenous,44.49250873274436,0.31043854933457493,30.216666666666665,False,0:00:00.091
MLP,Quarantines as exogenous,85.68605487475777,0.6645110030049339,64.96666666666667,True,0:00:00.071
MLP,Quarantines as exogenous,44.48239352073282,0.2828948260245389,28.85,False,0:00:00.095
MLP,Time as exogenous,77.49247275273473,0.5508895508704998,57.71666666666667,True,0:00:00.041
MLP,Time as exogenous,49.51918820013107,0.3391248097111144,34.31666666666667,False,0:00:00.237
TCN,Covid data as exog,137.13345081829354,1.263141640255203,111.38333333333334,True,0:01:28.562
TCN,Covid data as exog,47.20010593208452,0.38228007206581,33.81666666666667,False,0:00:16.276
TCN,No exogenous,235.96327397852968,2.9529361512021803,192.8,True,0:00:55.868
TCN,No exogenous,48.79822401139889,0.3236926177636967,33.36666666666667,False,0:00:22.782
TCN,Quarantines as exogenous,93.4088682442233,0.501899714263459,65.91666666666667,True,0:01:06.691
TCN,Quarantines as exogenous,47.80882066453149,0.38261038113027773,31.083333333333332,False,0:00:19.738
TCN,Time as exogenous,154.7470516681982,1.890980678788684,129.35,True,0:01:42.322
TCN,Time as exogenous,47.28671413127934,0.3187169668111553,30.633333333333333,False,0:00:29.911
