Model,Features,RMSE,MAPE,MAE,Differencing,Time
Arima,No exogenous,81.23587056631243,0.39067681443704644,51.7,True,0:00:44.425
Arima,No exogenous,79.75984787681915,0.4513411062361775,53.833333333333336,False,0:01:05.483
Arima,Time as exogenous,82.37303361335351,0.3927803683181807,52.18333333333333,True,0:07:07.864
Arima,Time as exogenous,79.55029855380808,0.5096525959195524,56.65,False,0:17:42.342
Arima,Quarantines as exogenous,81.23587056631243,0.39067681443704644,51.7,True,0:01:34.822
Arima,Quarantines as exogenous,82.51020138948476,0.35761758449854175,50.833333333333336,False,0:02:07.827
Arima,Covid data as exog,81.33838782108565,0.3902065832780003,51.733333333333334,True,0:01:06.410
Arima,Covid data as exog,82.36898688219978,0.36849569962179846,51.31666666666667,False,0:01:15.872
