Model,Features,RMSE,MAPE,MAE,Differencing,Time
AdaBoost,Covid data as exog,84.51607342196316,0.38790751949588526,52.166666666666664,True,0:00:00.205
AdaBoost,Covid data as exog,44.98018082074223,0.2849607333749101,28.516666666666666,False,0:00:00.220
AdaBoost,No exogenous,91.88842872382428,0.40012698863681445,57.916666666666664,True,0:00:00.151
AdaBoost,No exogenous,44.654227123532216,0.28358946019228853,27.866666666666667,False,0:00:00.160
AdaBoost,Quarantines as exogenous,93.3109496968782,0.36671349421648575,56.766666666666666,True,0:00:00.161
AdaBoost,Quarantines as exogenous,45.70029175690968,0.2896816013228134,29.383333333333333,False,0:00:00.171
AdaBoost,Time as exogenous,87.34491017416718,0.39403842276991163,53.96666666666667,True,0:00:00.223
AdaBoost,Time as exogenous,44.93680748191472,0.28382840607611065,28.15,False,0:00:00.236
HGBoost,Covid data as exog,93.65877784098332,0.44186331615156355,59.233333333333334,True,0:00:00.553
HGBoost,Covid data as exog,45.554911919572405,0.298875434156394,30.316666666666666,False,0:00:00.611
HGBoost,No exogenous,83.54639429682169,0.4859155741259538,55.733333333333334,True,0:00:00.465
HGBoost,No exogenous,44.19464522616588,0.2925780589154936,28.733333333333334,False,0:00:00.483
HGBoost,Quarantines as exogenous,80.79913365872186,0.5793309428819583,58.733333333333334,True,0:00:00.537
HGBoost,Quarantines as exogenous,45.02443780881667,0.29947205426898543,29.233333333333334,False,0:00:00.598
HGBoost,Time as exogenous,104.46458730115197,0.600840123826881,75.21666666666667,True,0:00:00.709
HGBoost,Time as exogenous,43.560685638925996,0.28993450750680944,28.666666666666668,False,0:00:00.755
XGBoost,Covid data as exog,86.1908734534386,0.48127223468310754,57.2,True,0:00:00.082
XGBoost,Covid data as exog,51.812804080330054,0.3124476635484095,36.6,False,0:00:00.083
XGBoost,No exogenous,108.67313375439213,0.6745034682548264,80.25,True,0:00:00.070
XGBoost,No exogenous,46.518275978372195,0.3115534219001249,30.65,False,0:00:00.064
XGBoost,Quarantines as exogenous,101.66907100982088,0.6543030020898916,73.93333333333334,True,0:00:00.065
XGBoost,Quarantines as exogenous,47.40604743419697,0.3266832773911252,32.3,False,0:00:00.071
XGBoost,Time as exogenous,108.82072412918414,0.6407879489709624,78.71666666666667,True,0:00:00.082
XGBoost,Time as exogenous,45.758059399410726,0.3238307351299763,32.43333333333333,False,0:00:00.087
